customerID,gender,SeniorCitizen,Partner,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaymentMethod,MonthlyCharges,TotalCharges,Churn,State
7590-VHVEG,Female,No,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Electronic check,29.85$,29.85,Stayed,"New York, USA"
5575-GNVDE,Male,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,Mailed check,56.95$,1889.5,Stayed,"New York, USA"
3668-QPYBK,Male,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Mailed check,53.85$,108.15,Churned,"Florida, USA"
7795-CFOCW,Male,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Bank transfer (automatic),42.3$,1840.75,Stayed,"Texas, USA"
9237-HQITU,Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Electronic check,70.7$,151.65,Churned,"California, USA"
9305-CDSKC,Female,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Electronic check,99.65$,820.5,Churned,"California, USA"
1452-KIOVK,Male,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Credit card (automatic),89.1$,1949.4,Stayed,"Florida, USA"
6713-OKOMC,Female,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Mailed check,29.75$,301.9,Stayed,"Texas, USA"
7892-POOKP,Female,No,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,104.8$,3046.05,Churned,"New York, USA"
6388-TABGU,Male,No,No,62,Yes,No,DSL,Yes,Yes,No,No,No,No,Bank transfer (automatic),56.15$,3487.95,Stayed,"California, USA"
9763-GRSKD,Male,No,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Mailed check,49.95$,587.45,Stayed,"California, USA"
7469-LKBCI,Male,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),18.95$,326.8,Stayed,"Florida, USA"
8091-TTVAX,Male,No,Yes,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Credit card (automatic),100.35$,5681.1,Stayed,"Texas, USA"
0280-XJGEX,Male,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),103.7$,5036.3,Churned,"Texas, USA"
5129-JLPIS,Male,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Electronic check,105.5$,2686.05,Stayed,"New York, USA"
3655-SNQYZ,Female,No,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),113.25$,7895.15,Stayed,"Florida, USA"
8191-XWSZG,Female,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.65$,1022.95,Stayed,"California, USA"
9959-WOFKT,Male,No,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Bank transfer (automatic),106.7$,7382.25,Stayed,"Texas, USA"
4190-MFLUW,Female,No,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Credit card (automatic),55.2$,528.35,Churned,"New York, USA"
4183-MYFRB,Female,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Electronic check,90.05$,1862.9,Stayed,"New York, USA"
8779-QRDMV,Male,Yes,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Electronic check,39.65$,39.65,Churned,"Florida, USA"
1680-VDCWW,Male,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),19.8$,202.25,Stayed,"Texas, USA"
1066-JKSGK,Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.15$,20.15,Churned,"New York, USA"
3638-WEABW,Female,No,Yes,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Credit card (automatic),59.9$,3505.1,Stayed,"Florida, USA"
6322-HRPFA,Male,No,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Credit card (automatic),59.6$,2970.3,Stayed,"Florida, USA"
6865-JZNKO,Female,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Bank transfer (automatic),55.3$,1530.6,Stayed,"California, USA"
6467-CHFZW,Male,No,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Electronic check,99.35$,4749.15,Churned,"California, USA"
8665-UTDHZ,Male,No,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Electronic check,30.2$,30.2,Churned,"Texas, USA"
5248-YGIJN,Male,No,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),90.25$,6369.45,Stayed,"Florida, USA"
8773-HHUOZ,Female,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Mailed check,64.7$,1093.1,Churned,"California, USA"
3841-NFECX,Female,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Credit card (automatic),96.35$,6766.95,Stayed,"Florida, USA"
4929-XIHVW,Male,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Credit card (automatic),95.5$,181.65,Stayed,"Florida, USA"
6827-IEAUQ,Female,No,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Mailed check,66.15$,1874.45,Stayed,"California, USA"
7310-EGVHZ,Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),20.2$,20.2,Stayed,"New York, USA"
3413-BMNZE,Male,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Bank transfer (automatic),45.25$,45.25,Stayed,"Florida, USA"
6234-RAAPL,Female,No,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Bank transfer (automatic),99.9$,7251.7,Stayed,"Florida, USA"
6047-YHPVI,Male,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Electronic check,69.7$,316.9,Churned,"California, USA"
6572-ADKRS,Female,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Credit card (automatic),74.8$,3548.3,Stayed,"New York, USA"
5380-WJKOV,Male,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Electronic check,106.35$,3549.25,Churned,"California, USA"
8168-UQWWF,Female,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Bank transfer (automatic),97.85$,1105.4,Churned,"Florida, USA"
8865-TNMNX,Male,No,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,Mailed check,49.55$,475.7,Stayed,"Texas, USA"
9489-DEDVP,Female,No,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Credit card (automatic),69.2$,4872.35,Stayed,"California, USA"
9867-JCZSP,Female,No,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.75$,418.25,Stayed,"New York, USA"
4671-VJLCL,Female,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),79.85$,4861.45,Stayed,"California, USA"
4080-IIARD,Female,No,Yes,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Electronic check,76.2$,981.45,Stayed,"Florida, USA"
3714-NTNFO,Female,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Electronic check,84.5$,3906.7,Stayed,"Texas, USA"
5948-UJZLF,Male,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Mailed check,49.25$,97.0,Stayed,"Florida, USA"
7760-OYPDY,Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Electronic check,80.65$,144.15,Churned,"New York, USA"
7639-LIAYI,Male,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),79.75$,4217.8,Stayed,"Florida, USA"
2954-PIBKO,Female,No,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Credit card (automatic),64.15$,4254.1,Stayed,"Florida, USA"
8012-SOUDQ,Female,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Electronic check,90.25$,3838.75,Stayed,"New York, USA"
